latitude:6.17217906;longitude:-75.33651913;altitude:2110.7666015625;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:227.5;speed:1.3300000429153442;elapsedMs:8;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17215776;longitude:-75.33653039;altitude:2111.97802734375;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:234.0;speed:1.6399999856948853;elapsedMs:8;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17212825;longitude:-75.33654175;altitude:2113.0185546875;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:215.60000610351562;speed:1.7799999713897705;elapsedMs:13;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17209392;longitude:-75.33654765;altitude:2113.56494140625;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:206.39999389648438;speed:1.6699999570846558;elapsedMs:20;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17206995;longitude:-75.33657287;altitude:2106.383544921875;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:220.3000030517578;speed:1.75;elapsedMs:8;provider:gps;(2021, 5, 18, 13, 2)
latitude:6.17206032;longitude:-75.33662064;altitude:2106.079345703125;accuracy:8.576000213623047;vertical_accuracy:12.0;bearing:248.0;speed:1.690000057220459;elapsedMs:11;provider:gps;(2021, 5, 18, 13, 3)
latitude:6.17201755;longitude:-75.33667272;altitude:2105.292236328125;accuracy:11.791999816894531;vertical_accuracy:12.0;bearing:214.60000610351562;speed:2.109999895095825;elapsedMs:6;provider:gps;(2021, 5, 18, 13, 3)
latitude:6.17196923;longitude:-75.33671921;altitude:2105.603271484375;accuracy:10.720000267028809;vertical_accuracy:12.0;bearing:219.10000610351562;speed:1.7000000476837158;elapsedMs:18;provider:gps;(2021, 5, 18, 13, 3)
latitude:6.17194802;longitude:-75.33674451;altitude:2103.886962890625;accuracy:8.576000213623047;vertical_accuracy:12.0;bearing:221.0;speed:0.8999999761581421;elapsedMs:6;provider:gps;(2021, 5, 18, 13, 3)
latitude:6.17193551;longitude:-75.3367607;altitude:2104.4482421875;accuracy:8.576000213623047;vertical_accuracy:8.0;bearing:218.5;speed:0.8500000238418579;elapsedMs:7;provider:gps;(2021, 5, 18, 13, 3)
latitude:6.17191902;longitude:-75.33677283;altitude:2104.510986328125;accuracy:7.504000186920166;vertical_accuracy:8.0;bearing:207.5;speed:1.1699999570846558;elapsedMs:7;provider:gps;(2021, 5, 18, 13, 3)
latitude:6.1718996;longitude:-75.33677625;altitude:2105.081787109375;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:206.60000610351562;speed:0.800000011920929;elapsedMs:9;provider:gps;(2021, 5, 18, 13, 3)
latitude:6.17189094;longitude:-75.33678174;altitude:2105.028564453125;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:230.10000610351562;speed:0.8299999833106995;elapsedMs:13;provider:gps;(2021, 5, 18, 13, 3)
latitude:6.17188571;longitude:-75.33679486;altitude:2103.788330078125;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:240.5;speed:0.9800000190734863;elapsedMs:6;provider:gps;(2021, 5, 18, 13, 3)
latitude:6.171877;longitude:-75.33680666;altitude:2103.370361328125;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:230.39999389648438;speed:0.8399999737739563;elapsedMs:6;provider:gps;(2021, 5, 18, 13, 3)
latitude:6.17186815;longitude:-75.33680871;altitude:2103.67431640625;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:198.10000610351562;speed:0.46000000834465027;elapsedMs:10;provider:gps;(2021, 5, 18, 13, 3)
latitude:6.17186331;longitude:-75.33680125;altitude:2103.279541015625;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:136.1999969482422;speed:0.5400000214576721;elapsedMs:8;provider:gps;(2021, 5, 18, 13, 3)
latitude:6.17184801;longitude:-75.33680596;altitude:2102.662841796875;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:204.8000030517578;speed:1.6299999952316284;elapsedMs:5;provider:gps;(2021, 5, 18, 13, 3)
latitude:6.17181608;longitude:-75.33681321;altitude:2101.8671875;accuracy:3.2160000801086426;vertical_accuracy:4.0;bearing:189.3000030517578;speed:1.1100000143051147;elapsedMs:16;provider:gps;(2021, 5, 18, 13, 3)
latitude:6.17179189;longitude:-75.33681804;altitude:2101.578125;accuracy:4.288000106811523;vertical_accuracy:4.0;bearing:193.6999969482422;speed:1.1200000047683716;elapsedMs:5;provider:gps;(2021, 5, 18, 13, 3)
latitude:6.17143964;longitude:-75.33657643;altitude:2102.11083984375;accuracy:24.6560001373291;vertical_accuracy:12.0;bearing:149.39999389648438;speed:2.3299999237060547;elapsedMs:10;provider:gps;(2021, 5, 18, 13, 3)
latitude:6.17103497;longitude:-75.33697545;altitude:2101.732177734375;accuracy:39.66400146484375;vertical_accuracy:16.0;bearing:237.39999389648438;speed:2.25;elapsedMs:16;provider:gps;(2021, 5, 18, 13, 3)
latitude:6.171049;longitude:-75.33704525;altitude:2101.769775390625;accuracy:26.80000114440918;vertical_accuracy:12.0;bearing:224.8000030517578;speed:1.3600000143051147;elapsedMs:4;provider:gps;(2021, 5, 18, 13, 3)
latitude:6.17107675;longitude:-75.33705006;altitude:2100.815673828125;accuracy:17.152000427246094;vertical_accuracy:12.0;bearing:211.60000610351562;speed:1.2899999618530273;elapsedMs:14;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.1710862;longitude:-75.33707235;altitude:2100.757080078125;accuracy:13.93600082397461;vertical_accuracy:8.0;bearing:207.60000610351562;speed:1.2999999523162842;elapsedMs:5;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.17107197;longitude:-75.3370956;altitude:2100.70751953125;accuracy:10.720000267028809;vertical_accuracy:6.0;bearing:213.39999389648438;speed:1.7799999713897705;elapsedMs:5;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.171038;longitude:-75.33713051;altitude:2100.42822265625;accuracy:11.791999816894531;vertical_accuracy:6.0;bearing:216.60000610351562;speed:1.7699999809265137;elapsedMs:5;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.17099628;longitude:-75.33714704;altitude:2100.3291015625;accuracy:11.791999816894531;vertical_accuracy:6.0;bearing:207.5;speed:1.840000033378601;elapsedMs:3;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.17095257;longitude:-75.33716792;altitude:2100.311279296875;accuracy:9.648000717163086;vertical_accuracy:6.0;bearing:209.39999389648438;speed:1.8799999952316284;elapsedMs:13;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.1709076;longitude:-75.33719129;altitude:2100.30615234375;accuracy:17.152000427246094;vertical_accuracy:8.0;bearing:209.1999969482422;speed:1.8799999952316284;elapsedMs:7;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.17081164;longitude:-75.33723371;altitude:2100.398193359375;accuracy:35.375999450683594;vertical_accuracy:12.0;bearing:205.6999969482422;speed:2.140000104904175;elapsedMs:13;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.17094637;longitude:-75.3370524;altitude:2103.697509765625;accuracy:19.296001434326172;vertical_accuracy:12.0;bearing:198.60000610351562;speed:1.940000057220459;elapsedMs:8;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.17084535;longitude:-75.33702214;altitude:2113.618896484375;accuracy:17.152000427246094;vertical_accuracy:16.0;bearing:195.89999389648438;speed:1.9700000286102295;elapsedMs:1;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.17075016;longitude:-75.33699908;altitude:2110.071533203125;accuracy:7.504000186920166;vertical_accuracy:12.0;bearing:198.8000030517578;speed:2.2300000190734863;elapsedMs:17;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.17069424;longitude:-75.33701224;altitude:2109.86474609375;accuracy:7.504000186920166;vertical_accuracy:12.0;bearing:206.0;speed:1.5299999713897705;elapsedMs:7;provider:gps;(2021, 5, 18, 13, 4)
latitude:6.17064823;longitude:-75.33703085;altitude:2106.67578125;accuracy:6.432000160217285;vertical_accuracy:12.0;bearing:214.8000030517578;speed:2.5399999618530273;elapsedMs:12;provider:gps;(2021, 5, 18, 13, 4)
