latitude:6.26497952;longitude:-75.56632465;altitude:1504.5096435546875;accuracy:5.360000133514404;vertical_accuracy:6.0;bearing:191.5;speed:0.6200000047683716;elapsedMs:17;provider:gps;(2020, 12, 13, 15, 4)
latitude:6.264995;longitude:-75.56631826;altitude:1504.27392578125;accuracy:5.360000133514404;vertical_accuracy:6.0;bearing:191.1999969482422;speed:0.15000000596046448;elapsedMs:14;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26498055;longitude:-75.56632033;altitude:1504.1605224609375;accuracy:5.360000133514404;vertical_accuracy:6.0;bearing:191.39999389648438;speed:0.3400000035762787;elapsedMs:17;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26495378;longitude:-75.56630151;altitude:1506.303466796875;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:118.19999694824219;speed:0.6399999856948853;elapsedMs:7;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.2649393;longitude:-75.56628812;altitude:1506.47509765625;accuracy:5.360000133514404;vertical_accuracy:6.0;bearing:190.6999969482422;speed:0.1599999964237213;elapsedMs:6;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26492944;longitude:-75.56628772;altitude:1506.9949951171875;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:208.60000610351562;speed:0.6499999761581421;elapsedMs:7;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26491795;longitude:-75.56629226;altitude:1506.981201171875;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:231.6999969482422;speed:0.27000001072883606;elapsedMs:5;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26491008;longitude:-75.5662913;altitude:1507.1607666015625;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:166.60000610351562;speed:0.30000001192092896;elapsedMs:14;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26490172;longitude:-75.56627982;altitude:1507.5611572265625;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:0.0;speed:0.0;elapsedMs:16;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26489784;longitude:-75.56627501;altitude:1507.5767822265625;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:0.0;speed:0.0;elapsedMs:9;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26489142;longitude:-75.56626938;altitude:1508.1220703125;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:0.0;speed:0.0;elapsedMs:19;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26488743;longitude:-75.56625874;altitude:1506.497802734375;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:0.0;speed:0.0;elapsedMs:19;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26488313;longitude:-75.56625697;altitude:1506.6566162109375;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:0.0;speed:0.0;elapsedMs:8;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26487787;longitude:-75.56625398;altitude:1507.2802734375;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:0.0;speed:0.0;elapsedMs:9;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26487525;longitude:-75.56625096;altitude:1507.265869140625;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:0.0;speed:0.0;elapsedMs:6;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26487364;longitude:-75.56625337;altitude:1505.7205810546875;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:0.0;speed:0.0;elapsedMs:6;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26482966;longitude:-75.56625594;altitude:1509.0689697265625;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:186.0;speed:3.880000114440918;elapsedMs:10;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26469554;longitude:-75.56628218;altitude:1504.8450927734375;accuracy:6.432000160217285;vertical_accuracy:12.0;bearing:188.89999389648438;speed:5.25;elapsedMs:17;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26460978;longitude:-75.56634807;altitude:1503.231689453125;accuracy:6.432000160217285;vertical_accuracy:12.0;bearing:196.8000030517578;speed:4.28000020980835;elapsedMs:5;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26453196;longitude:-75.56634423;altitude:1502.0521240234375;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:197.5;speed:3.8399999141693115;elapsedMs:17;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26448933;longitude:-75.56640051;altitude:1500.0711669921875;accuracy:3.2160000801086426;vertical_accuracy:6.0;bearing:229.3000030517578;speed:3.299999952316284;elapsedMs:21;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26448417;longitude:-75.56646773;altitude:1500.5576171875;accuracy:3.2160000801086426;vertical_accuracy:6.0;bearing:268.6000061035156;speed:3.5999999046325684;elapsedMs:19;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26450477;longitude:-75.56655935;altitude:1498.7109375;accuracy:3.2160000801086426;vertical_accuracy:6.0;bearing:278.29998779296875;speed:4.480000019073486;elapsedMs:8;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26450669;longitude:-75.56663898;altitude:1502.9666748046875;accuracy:4.288000106811523;vertical_accuracy:8.0;bearing:277.79998779296875;speed:4.420000076293945;elapsedMs:13;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26451442;longitude:-75.56672469;altitude:1500.452880859375;accuracy:5.360000133514404;vertical_accuracy:8.0;bearing:278.3999938964844;speed:4.96999979019165;elapsedMs:9;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26452788;longitude:-75.56681658;altitude:1500.7591552734375;accuracy:7.504000186920166;vertical_accuracy:12.0;bearing:279.0;speed:4.840000152587891;elapsedMs:20;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26450538;longitude:-75.56692958;altitude:1502.1405029296875;accuracy:6.432000160217285;vertical_accuracy:12.0;bearing:273.5;speed:5.400000095367432;elapsedMs:7;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26452354;longitude:-75.56698562;altitude:1503.982421875;accuracy:7.504000186920166;vertical_accuracy:12.0;bearing:281.1000061035156;speed:3.7799999713897705;elapsedMs:2;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.2645219;longitude:-75.56702138;altitude:1504.7596435546875;accuracy:9.648000717163086;vertical_accuracy:12.0;bearing:279.29998779296875;speed:2.0999999046325684;elapsedMs:9;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26449513;longitude:-75.56702183;altitude:1505.1107177734375;accuracy:9.648000717163086;vertical_accuracy:12.0;bearing:269.20001220703125;speed:0.699999988079071;elapsedMs:7;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26449226;longitude:-75.56703188;altitude:1506.8255615234375;accuracy:12.86400032043457;vertical_accuracy:16.0;bearing:272.20001220703125;speed:0.36000001430511475;elapsedMs:20;provider:gps;(2020, 12, 13, 15, 5)
latitude:6.26449288;longitude:-75.56701498;altitude:1506.1640625;accuracy:11.791999816894531;vertical_accuracy:16.0;bearing:322.3999938964844;speed:0.44999998807907104;elapsedMs:10;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26450593;longitude:-75.56703188;altitude:1504.87939453125;accuracy:9.648000717163086;vertical_accuracy:12.0;bearing:298.8999938964844;speed:1.3200000524520874;elapsedMs:16;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26451122;longitude:-75.56706332;altitude:1503.4283447265625;accuracy:9.648000717163086;vertical_accuracy:12.0;bearing:278.3999938964844;speed:0.8100000023841858;elapsedMs:12;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26451483;longitude:-75.56708689;altitude:1501.54248046875;accuracy:7.504000186920166;vertical_accuracy:12.0;bearing:272.70001220703125;speed:0.7799999713897705;elapsedMs:10;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26452784;longitude:-75.56710312;altitude:1500.44287109375;accuracy:9.648000717163086;vertical_accuracy:12.0;bearing:287.5;speed:0.8899999856948853;elapsedMs:13;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26455821;longitude:-75.56713469;altitude:1499.4786376953125;accuracy:11.791999816894531;vertical_accuracy:16.0;bearing:287.6000061035156;speed:1.9700000286102295;elapsedMs:4;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26458779;longitude:-75.56722905;altitude:1498.4981689453125;accuracy:13.93600082397461;vertical_accuracy:16.0;bearing:276.79998779296875;speed:4.03000020980835;elapsedMs:3;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26460497;longitude:-75.56739087;altitude:1495.590576171875;accuracy:7.504000186920166;vertical_accuracy:12.0;bearing:272.8999938964844;speed:4.809999942779541;elapsedMs:18;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26458038;longitude:-75.56747248;altitude:1491.98583984375;accuracy:7.504000186920166;vertical_accuracy:12.0;bearing:268.29998779296875;speed:5.260000228881836;elapsedMs:2;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26458725;longitude:-75.56757117;altitude:1493.8338623046875;accuracy:8.576000213623047;vertical_accuracy:12.0;bearing:268.20001220703125;speed:5.5;elapsedMs:11;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26460214;longitude:-75.56768252;altitude:1492.8253173828125;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:275.5;speed:5.46999979019165;elapsedMs:4;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26461631;longitude:-75.56778688;altitude:1491.0396728515625;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:276.29998779296875;speed:5.809999942779541;elapsedMs:10;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26462444;longitude:-75.56787864;altitude:1490.8851318359375;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:272.29998779296875;speed:5.449999809265137;elapsedMs:18;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26465354;longitude:-75.56802955;altitude:1493.462646484375;accuracy:6.432000160217285;vertical_accuracy:8.0;bearing:276.79998779296875;speed:7.900000095367432;elapsedMs:8;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26467331;longitude:-75.56819985;altitude:1493.0762939453125;accuracy:5.360000133514404;vertical_accuracy:6.0;bearing:277.3999938964844;speed:9.25;elapsedMs:7;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26470252;longitude:-75.56838994;altitude:1492.6165771484375;accuracy:5.360000133514404;vertical_accuracy:6.0;bearing:278.8999938964844;speed:10.430000305175781;elapsedMs:20;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26473926;longitude:-75.56859115;altitude:1492.864013671875;accuracy:4.288000106811523;vertical_accuracy:6.0;bearing:280.3999938964844;speed:11.470000267028809;elapsedMs:6;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26477641;longitude:-75.5687855;altitude:1493.1373291015625;accuracy:5.360000133514404;vertical_accuracy:6.0;bearing:280.79998779296875;speed:10.960000038146973;elapsedMs:6;provider:gps;(2020, 12, 13, 15, 6)
latitude:6.26480059;longitude:-75.56901089;altitude:1488.20166015625;accuracy:5.360000133514404;vertical_accuracy:6.0;bearing:277.0;speed:12.329999923706055;elapsedMs:6;provider:gps;(2020, 12, 13, 15, 6)
